parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
n_pixels_shoot,Col-0,mock,557069.75,557069.75,0.0,,557069.75,0.0,
n_pixels_shoot,,417pvd,,549918.5,,,,,
n_pixels_shoot,,417r,,548086.1,,,,,
n_pixels_shoot,,mock,,557069.75,,,,,
sum_fluorescence_main_root,DR5v2,417pvd,63025094.775,66927203.2,-3902108.4250000045,0.374424034002809,18693790.684210528,44331304.09078947,1.7397602015506614e-13
sum_fluorescence_main_root,DR5v2,417r,71862824.925,82145124.1,-10282299.174999997,0.06137804816555877,18693790.684210528,53169034.24078947,3.661591180457996e-12
sum_fluorescence_main_root,DR5v2,mock,18693790.684210528,16938097.416666668,1755693.2675438598,0.2046022225766288,18693790.684210528,0.0,
sum_fluorescence_main_root,Col-0,417pvd,66927203.2,66927203.2,0.0,,16938097.416666668,49989105.78333333,3.19297155322293e-05
sum_fluorescence_main_root,Col-0,417r,82145124.1,82145124.1,0.0,,16938097.416666668,65207026.68333332,1.4828434613912153e-05
sum_fluorescence_main_root,Col-0,mock,16938097.416666668,16938097.416666668,0.0,,16938097.416666668,0.0,
sum_fluorescence_main_root,,417pvd,,66927203.2,,,,,
sum_fluorescence_main_root,,417r,,82145124.1,,,,,
sum_fluorescence_main_root,,mock,,16938097.416666668,,,,,
sum_fluorescence_lateral_root,DR5v2,417pvd,133720894.775,124554950.5,9165944.275000006,0.5651477684721926,48604678.0,85116216.775,1.63229545322729e-07
sum_fluorescence_lateral_root,DR5v2,417r,153266801.15,151361175.9,1905625.25,0.9158117395565977,48604678.0,104662123.15,4.19715501532177e-10
sum_fluorescence_lateral_root,DR5v2,mock,48604678.0,41544279.833333336,7060398.166666664,0.33786835385478114,48604678.0,0.0,
sum_fluorescence_lateral_root,Col-0,417pvd,124554950.5,124554950.5,0.0,,41544279.833333336,83010670.66666666,0.0004680052738768799
sum_fluorescence_lateral_root,Col-0,417r,151361175.9,151361175.9,0.0,,41544279.833333336,109816896.06666666,0.0006823213645660357
sum_fluorescence_lateral_root,Col-0,mock,41544279.833333336,41544279.833333336,0.0,,41544279.833333336,0.0,
sum_fluorescence_lateral_root,,417pvd,,124554950.5,,,,,
sum_fluorescence_lateral_root,,417r,,151361175.9,,,,,
