parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
mean_fluorescence_dilated_root,DR5v2,417pvd,5731.821716125463,5803.671163442994,-71.84944731753058,0.6064642806820362,3773.5452786580977,1958.2764374673657,3.8864641410871054e-14
mean_fluorescence_dilated_root,DR5v2,417r,5836.294564487489,5841.43205370175,-5.1374892142612225,0.9577080858621217,3773.5452786580977,2062.7492858293913,6.178944528487354e-21
mean_fluorescence_dilated_root,DR5v2,mock,3773.5452786580977,3632.0373744515614,141.5079042065363,0.39096576182693,3773.5452786580977,0.0,
mean_fluorescence_dilated_root,Col-0,417pvd,5803.671163442994,5803.671163442994,0.0,,3632.0373744515614,2171.6337889914325,1.6663934657553018e-06
mean_fluorescence_dilated_root,Col-0,417r,5841.43205370175,5841.43205370175,0.0,,3632.0373744515614,2209.394679250189,2.0919073394836917e-06
mean_fluorescence_dilated_root,Col-0,mock,3632.0373744515614,3632.0373744515614,0.0,,3632.0373744515614,0.0,
mean_fluorescence_dilated_root,,417pvd,,5803.671163442994,,,,,
mean_fluorescence_dilated_root,,417r,,5841.43205370175,,,,,
mean_fluorescence_dilated_root,,mock,,3632.0373744515614,,,,,
mean_fluorescence_shoot,DR5v2,417pvd,5521.196484957556,5589.505617937934,-68.30913298037831,0.7404446577820616,3866.7578367731026,1654.4386481844535,6.152193447460769e-16
mean_fluorescence_shoot,DR5v2,417r,5300.224747337512,5263.660680676354,36.564066661157995,0.7278491934253977,3866.7578367731026,1433.4669105644093,3.025967805412438e-17
mean_fluorescence_shoot,DR5v2,mock,3866.7578367731026,3742.6820348536676,124.07580191943498,0.4935504056121821,3866.7578367731026,0.0,
mean_fluorescence_shoot,Col-0,417pvd,5589.505617937934,5589.505617937934,0.0,,3742.6820348536676,1846.8235830842668,4.7325533994860115e-05
mean_fluorescence_shoot,Col-0,417r,5263.660680676354,5263.660680676354,0.0,,3742.6820348536676,1520.9786458226863,6.759159192329907e-05
mean_fluorescence_shoot,Col-0,mock,3742.6820348536676,3742.6820348536676,0.0,,3742.6820348536676,0.0,
mean_fluorescence_shoot,,417pvd,,5589.505617937934,,,,,
mean_fluorescence_shoot,,417r,,5263.660680676354,,,,,
mean_fluorescence_shoot,,mock,,3742.6820348536676,,,,,
n_pixels_main_root,DR5v2,417pvd,122885.075,128314.8,-5429.725000000006,0.39329140123431117,147284.76315789475,-24399.68815789475,3.073352000140184e-06
n_pixels_main_root,DR5v2,417r,128430.55,138395.4,-9964.849999999991,0.24709759142924312,147284.76315789475,-18854.213157894745,0.0018775798983572461
n_pixels_main_root,DR5v2,mock,147284.76315789475,133156.08333333334,14128.679824561405,0.19297661812611172,147284.76315789475,0.0,
n_pixels_main_root,Col-0,417pvd,128314.8,128314.8,0.0,,133156.08333333334,-4841.28333333334,0.6572143638849732
n_pixels_main_root,Col-0,417r,138395.4,138395.4,0.0,,133156.08333333334,5239.316666666651,0.6533151128687433
n_pixels_main_root,Col-0,mock,133156.08333333334,133156.08333333334,0.0,,133156.08333333334,0.0,
n_pixels_main_root,,417pvd,,128314.8,,,,,
n_pixels_main_root,,417r,,138395.4,,,,,
n_pixels_main_root,,mock,,133156.08333333334,,,,,
n_pixels_lateral_root,DR5v2,417pvd,349625.05,333428.0,16197.049999999988,0.6293164742526952,384111.86842105264,-34486.81842105265,0.2590844345005805
n_pixels_lateral_root,DR5v2,417r,375055.1,370966.6,4088.5,0.9162932211924666,384111.86842105264,-9056.768421052664,0.7342910321919928
n_pixels_lateral_root,DR5v2,mock,384111.86842105264,327649.3333333333,56462.53508771933,0.3300482412342738,384111.86842105264,0.0,
n_pixels_lateral_root,Col-0,417pvd,333428.0,333428.0,0.0,,327649.3333333333,5778.666666666686,0.9195564514184968
n_pixels_lateral_root,Col-0,417r,370966.6,370966.6,0.0,,327649.3333333333,43317.26666666666,0.48896951657119414
n_pixels_lateral_root,Col-0,mock,327649.3333333333,327649.3333333333,0.0,,327649.3333333333,0.0,
n_pixels_lateral_root,,417pvd,,333428.0,,,,,
n_pixels_lateral_root,,417r,,370966.6,,,,,
n_pixels_lateral_root,,mock,,327649.3333333333,,,,,
n_pixels_main_root_tip,DR5v2,417pvd,1826.95,1830.0,-3.0499999999999545,0.32987680092113214,1830.0,-3.0499999999999545,0.32987680092113214
n_pixels_main_root_tip,DR5v2,417r,1830.0,1830.0,0.0,,1830.0,0.0,
n_pixels_main_root_tip,DR5v2,mock,1830.0,1758.8333333333333,71.16666666666674,0.36321746764912205,1830.0,0.0,
n_pixels_main_root_tip,Col-0,417pvd,1830.0,1830.0,0.0,,1758.8333333333333,71.16666666666674,0.36321746764912205
n_pixels_main_root_tip,Col-0,417r,1830.0,1830.0,0.0,,1758.8333333333333,71.16666666666674,0.36321746764912205
